127.0.0.1 - - [26/Aug/2023:01:30:04 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:06 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11041
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/css/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/css/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/css/themify-icons.css HTTP/1.1" 200 16456
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/css/nice-select.css HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/css/gijgo.css HTTP/1.1" 200 60226
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/css/animate.css HTTP/1.1" 200 77758
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/css/slicknav.css HTTP/1.1" 200 5510
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/css/style.css HTTP/1.1" 200 198232
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/css/flaticon.css HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/vendor/modernizr-3.5.0.min.js HTTP/1.1" 200 8636
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/vendor/jquery-1.12.4.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/ajax-form.js HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/popper.min.js HTTP/1.1" 200 19188
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/isotope.pkgd.min.js HTTP/1.1" 200 35503
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/waypoints.min.js HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/jquery.counterup.min.js HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/imagesloaded.pkgd.min.js HTTP/1.1" 200 5594
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/jquery.scrollUp.min.js HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/scrollIt.js HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/wow.min.js HTTP/1.1" 200 8415
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/plugins.js HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/jquery.slicknav.min.js HTTP/1.1" 200 8415
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/nice-select.min.js HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/gijgo.min.js HTTP/1.1" 200 177487
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/contact.js HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/jquery.ajaxchimp.min.js HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/main.js HTTP/1.1" 200 6748
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/jquery.validate.min.js HTTP/1.1" 200 21068
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/img/banner/banner.png HTTP/1.1" 200 876096
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/mail-script.js HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/js/jquery.form.js HTTP/1.1" 200 41095
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:30:07 +0530] "GET /CradleOfLife/theme/img/favicon.png HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:17 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:18 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=registerNewUser HTTP/1.1" 500 2651
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:28 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=registerNewUser HTTP/1.1" 500 2651
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:29 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=registerNewUser HTTP/1.1" 500 2651
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:29 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=registerNewUser HTTP/1.1" 500 2651
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:30 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=registerNewUser HTTP/1.1" 500 2651
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:31 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=registerNewUser HTTP/1.1" 500 2651
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:31 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=registerNewUser HTTP/1.1" 500 2651
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:32 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=registerNewUser HTTP/1.1" 500 2651
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:32 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=registerNewUser HTTP/1.1" 500 2651
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:32 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=registerNewUser HTTP/1.1" 500 2651
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:33 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=registerNewUser HTTP/1.1" 500 2651
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:33 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:33 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:34 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:34 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 2642
